bahubali	बाहुबली
sankhya	संख्या
badhi	बढ़ी
surakasha	सुरकशा
intejaam	इंतजाम
insaaniyat	इंसानियत
sharmsaar	शर्मसार
rai	राय
asa	आसा
bengaldesh	बंगलदेश
yogi	योगी
seekho	सीखो
faisley	फैसले
manhoos	मनहूस
hudda	हुड्डा
hatao	हटाओ
namleva	नमलेवा
jitaya	जिताया
parwah	परवाह
panipat	पानीपत
faridbad	फरीदाबाद
mutabik	मुताबिक
america	अमेरिका
azma	आजमा
chukay	चुकाय
rapes	रेप्स
karnatka	कर्नाटका
lug	लुग
padosi	पड़ोसी
dikhaie	दिखाइए
bhediye	भेड़िये
pade	पड़े
daalo	डालो
saalo	सालो
vase	वासे
zarurat	ज़रूरत
mutilated	मूतिलतेड़
bhi_to	भी_तो
rani_padmini	रानी_पदमिनी
k_upar	के_उपर
bni	बनि
vivad	विवाद
ldki	लड़की
speech	स्पीच
dedi	देदी
kamine	कमीने
aadami	आदमी
sudharenge	सुधारेंगे
gali	गली
gunda	गुंडा
muh	मुह
hmari	ह्मारी
samje	समजे
gadaaro	गदारो
zehar	ज़हर
murdabad	मुर्दाबाद
kolkata	कोलकाता
dosh	दोष
nhi_karpari	न्ही_करपरी
waade	वाडे
citizens	कितीजेंस
hathiyaar	हथियार
vaishnodevi	वैष्णोदेवी
fauji	फौजी
mulakat	मुलाकात
kahane	कहाने
sunai	सुनाई
dardniya	दर्दनिया
gharon	घरों
ghuskar	घुसकर
sharmnaak	शर्मनाक
bachao	बचाओ
rahengi	रहेंगी
niklegi	निकलेगी
padhne	पढ़ने
khauf	खौफ
punish	पनिश
bajti	बजती
baj	बज
skti	सकती
asaram	आसाराम
bapu	बापू
1bhi	1भी
saabit	साबित
ashram	आश्रम
charity	चैरिटी
vedio	वेडिओ
dekhne	देखने
anuj	अनुज
loya	लोया
besharam	बेशरम
tujhe	तुझे
adha	आधा
shohor	शोहोर
aksar	अक्सर
bachcho	बच्चो
salo	सालो
procedure	प्रोसेड्यूर
guruji	गुरूजी
khas	खास
joki	जोकि
bangladesh	बांग्लादेश
bachoo	बचू
sikhana	सिखाना
seekhana	सीखना
baiti	बैटी
teereka	तीरेका
doodhna	दूधना
tarf	तरफ
upakar	उपकार
ankho	आँखो
mukarne	मुकरने
gujaish	गुजैश
kasab	कसाब
sunane	सुनने
thappadd	थैपड
yakub	याकुब
menon	मेनन
moron	मोरोन
zainab	जैनब
manane	मानने
khusi	खुसी
matam	मातम
esha	ईशा
honna	होना
jharkhand	झारखंड
asram	असरम
pundit	पंडित
keya	केय
sadhu	साधु
kerti	केरती
tension	टेंशन
gurgaon	गुरगांव
safdar	सफदर
tumari	तुमरी
baz	बाज
pooray	पूर्य
pornography	पोर्नोग्राफी
qasoor	कसूर
padmaavti	पद्मावती
rahti	रहती
naari	नारी
swabhiman	स्वाभिमान
kahun	कहूँ
tagg	टैग
jeene	जीने
divide	डिवाइड
mahabharat	महाभारत
kardiye	करदिये
koraput	कोरापुट
karliya	करलिया
johar	जोहर
hotay	होते
taluq	तालुक
liberalism	लिबरलिज
kiyon	कियों
saktay	सकते
image	इमेज
pandit	पंडित
film	फिल्म
kisine	किसीने
banayega	बनायेगा
chomu	चोमू
tareef	तारीफ
kaanoon	कानून
apne-aap	अपने-आप
jaayenge	जायेंगे
humey	हुमेय
para	परा
lehaz	लहज
karay	कराय
baitha	बैठा
mara	मारा
guzrti	गुजरती
aurato	औरतो
bramhin	ब्रम्हीन
kamane	कमाने
chad	चाड
bordar	बोरदार
qasur	कसूर
samnay	सामने
maara	मारा
paralyze	पैरालाइज
pairo	पैरो
mehndi	मेहंदी
hatho	हाथो
kangan	कंगन
aajate	आजते
neta-	नेता-
apradh	अपराध
barawa	बरवा
uthani	उठानी
bnanya	बनान्या
lnsan	लंसन
soche	सोचे
uthao	उठाओ
poochna	पूछना
aapse	आपसे
ku	कु
mehnat	मेहनत
bich	बिच
laye	लाये
brahma	ब्रह्मा
lagaane	लगाने
sanskaar	संस्कार
rich	रिच
fasakar	फसकर
unse	उनसे
ladka	लड़का
dharne	ढारने
padmavat	पद्मावत
gia	गिया
cheezo	चीजो
ikathe	इकठे
bewaqoofo	बेवकूफों
bante	बनते
filmo	फिल्मो
behas	बेहस
kiran	किरण
kher	खेर
raksha	रक्षा
gadhe	गाढे
producer	प्रोड्यूसर
chali	चली
khake	खाके
isike	इसीके
khikaf	खिकाफ
aayege	आयेगे
valentine	वैलेंटाइन
shaan	शान
padmavati	पद्मावती
virudh	विरुद्ध
pak	पाक
chejo	चेजो
nirali	निराली
korodia	कोरोडिया
sambhalegi	संभालेगी
kaar	कार
baacho	बाचो
kark	कार्क
asi	एएसआई
harqate	हरकते
isnhan	इसनहान
kaap	काप
tujh	तुझ
gawaron	गवारों
pratidin	प्रतिदिन
violence	वायलेंस
durdasha	दुर्दशा
deshbhakti	देशभक्ति
tekhedar	तेखेदार
padmaavat	पद्मावत
suwar	सुवार
mang	मांग
deshbhaft	देशभफ़त
bano	बानो
aayngi	आयंगी
nuksaan	नुक्सान
hein	हैं
sharab	शराब
prachlan	प्रचलन
hei	है
payengi	पाएंगी
ghat	घाट
sanskar	संस्कार
jisne	जिसने
janma	जन्मा
sukanya	सुकन्या
intna	इंटना
hungama	हंगामा
hogy	होगी
aawaj	आवाज
dikhate	दिखाते
ldkiya	लडकिया
khti	खटी
rhne	रहने
marte	मरते
jimmedari	जिम्मेदारी
bhagna	भागना
kaya	काया
ghuinyan	घुइनयन
chhilne	छिलने
sram	स्रम
aani	आनी
netau	नेतौ
private	प्राइवेट
patti	पट्टी
inlogo	इनलोगो
nalayak	नालायक
admi	आदमी
ashwini	अश्विनी
chaudhary	चौधरी
puchana	पूछना
jalaya	जलाया
dalito	दलितो
dein	देन
nikalna	निकलना
bigadne	बिगड़ने
humlog	हमलोग
ladh	लाड
paaye	पाये
female	फीमेल
rokte	रोकते
gaaye	गाये
kraane	कराने
jaada	जादा
voh	वोह
baajirao	बाजीराव
mastani	मस्तानी
karam	करम
morcha	मोर्चा
karwana	करवाना
inspiration	इंस्पिरेशन
tune	ट्यून
marwa	मारवा
bawal	बवल
rajasthan	राजस्थान
ischa	इशा
nirbhya	निर्भ्य
castinism	कैस्टिनिज्म
khaa	खा
yarr	यार
itihas	इतिहास
bate	बाते
sense	सेंस
chaalu	चालू
banaata	बनाता
15saal	15साल
jungleraaj	जंगलराज
kayam	कायम
maam	माम
kaand	कांड
saans	सांस
schoolgirl	स्कूलगर्ल
paralyzed	पैरालाइज
hindus	हिंदुस
kaunga	कौंगा
padmavathi	पद्मावती
slogens	स्लोजेन्स
hayen	हायेन
bhaad	भाद
nirbhayakand	निर्भयकंद
hogye	होगये
vahan	वहाँ
haqq	हक्क
pseudo	सूडो
lagav	लगाव
everybody	एवरीबॉडी
aansu	आंसू
yeduurappa	येदुउरप्पा
shah	शाह
mopalwar	मोपालवार
mehta	मेहता
naitikta	नैतिकता
horahe	होराहे
dedijiye	डेडीजीये
bheno	भेनो
hogua	होगुया
tamam	तमाम
bhadr	भद्र
bnaye	बनाये
kidhar	किधर
rather	राथर
kyouki	क्योकी
sanskriti	संस्कृति
du	दू
khilji	खिलजी
bhrasht	भ्रष्ट
mansik	मानसिक
shareerik	शरीरिक
pahele	पहेले
jakhmari	जख्<sp>मारी
bithaya	बिठाया
tumhari	तुम्हारी
salon	सालों
badnam	बदनाम
sikandar	सिकंदर
sikhaya	सिखाया
chi	चि
ghoomar	घूमर
gane	गाने
dhakkar	धक्कर
dikhana	दिखाना
kayi	कायी
pehente	पहनते
dikhti	दिखती
padhkar	पढ़कर
farzi	फरजी
hadi	हादी
awara	आवारा
pokoda	पोकोडा
leval	लेवल
bharastachar	भरस्तचार
dhayaan	धयान
sakhat	सखत
karwai	करवाई
konsa	कोंसा
2saal	2साल
penis	पेनिस
hakk	हक्क
jauhar	जौहार
hamre	हमरे
punishment	पनिशमेंट
medal	मेडल
jaakar	जाकर
jahaan	जहां
maane	माने
tayyari	तय्यारी
vapas	वापस
jaanch	जांच
rapiest	रेपिएस्ट
sidha	सीधा
phhasi	फासी
chalata	चलाता
tabkyun	तबकयुन
karni_sena	करनी_सेना
shakti	शक्ति
nhi_aata	न्ही_आता
hazaro	हजारो
mahillae	महिल्लाए
harasment	हरसमेंट
sikhar	सिखर
hori_h	होरी_ह
dikhao_to	दिखाओ_तो
milegi	मिलेगी
nirnay	निर्णय
marz	मर्ज़
medicine	मेडिसिन
maamle	मामले
ganda	गंदा
janane	जानने
deshbhakt	देशभक्त
vichar	विचार
chapter	चैप्टर
idhar	इधर
hogya	होगया
kamse	कमसे
maniye	मानिये
dhakne	ढकने
izzat	इज़त
khrb	ख़र्ब
payari	पायरी
chaku	चाकू
markar	मारकर
karde	करदे
ahinsa	अहिंसा
mukhota	मुखोता
pahankar	पहनकर
samjao	समजाओ
bato	बाटो
chalkar	चलकर
payar	पायर
samjaoge	समजाओगे
kisiko	किसीको
nakare	नकरे
assholes	अस्शोल्स
nakli	नकली
banake	बनके
kom	कोम
katl	काटल
burqe	बुर्के
kaid	कैद
bakriyon	बकरियों
chillane	चिल्लाने
jisko	जिसको
yezidi	येजीदी
3saal	3साल
bacchiyo	बच्चियो
ranveer	रणवीर
singh	सिंह
bikni	बिकनी
uthata	उठता
maje	मजे
dekhte	देखते
padmavti	पदमावती
phuchne	फूचने
khule	खुले
dhmki	धमकी
divar	दीवार
khadi	खड़ी
bachane	बचने
itihaas	इतिहास
gayin	गयीं
survivor	सर्वाइवर
abadi	आबादी
badti	बड़ती
apse	अपसे
sehmat	सहमत
bhavnaon	भावनाओं
awashyak	आवश्यक
chain	चैन
ghanton	घंटों
administration	एडमिनिस्ट्रेशन
uthane	उठाने
samaaj	समाज
disha	दिशा
molestor	मोलेस्टर
chuni	चुनी
paath	पाठ
mante	मानते
prachar	प्रचार
karein	करें
bete	बेटे
harami	हरामी
voter	वोटर
puchkar	पूचकर
aadikaalon	आदिकालों
jansankhya	जनसंख्या
badhti	बढ़ती
ghatnayein	घटनाएं
nikle	निकले
gorakpur	गोरकपुर
children	चिल्ड्रेन
adityanath	आदित्यनाथ
zaraa	ज़रा
poochho	पूछो
gau	गौ
napunsak	नपुंसक
narazgi	नरजगी
jaogey	जाओगे
kaahe	काहे
balidan	बलिदान
aiyaary	आइयारी
bhagoda	भगोड़ा
akshay	अक्षय
bhagta	भगता
antaryami	अंतर्यामी
aatmhatya	आत्महत्या
hongi	होंगी
inquilaab	इंकलाब
jindabad	जिंदाबाद
likhegi	लिखेगी
vardate	वरदाते
badhengi	बढ़ेंगी
khayal	खयाल
kass	कास
rajyon	राज्यों
karwaa	करवा
sarhad	सरहद
marta	मार्टा
roko	रोको
netikta	नेतिकता
mangne	मांगने
musalmano	मुसलमानों
maharashter	महाराष्टर
natikta	नतिकता
haan	हाँ
sandip	संदीप
nihalchand	निहालचंद
barkarar	बरकरार
shri	श्री
krishna	कृष्णा
rangoli	रंगोली
nahate	नहाटे
chhup	छुप
rrahe	रहे
janab	जनाब
bachoun	बचौन
karnay	करने
waalay	वाले
sahid	साहिद
horaha	होरहा
hogayi	होगाई
gaurav	गौरव
aaghat	आघात
milna	मिलना
childrape	चिल्ड्रेप
chetna	चेतना
phansi	फंसी
pariwaron	परिवारों
samajik	सामाजिक
bahiskar	बहिस्कार
aparadhon	अपराधों
daat	दात
dikhata	दिखता
besharm	बेशर्म
poochta	पूछता
ladhkiyon	लढ़कियों
khula	खुला
ghumta	घूमता
rakhti	रखती
lgati	लगती
waalon	वालों
machaya	मचाया
jitney	जितने
dande	दांडे
machado	मचाडो
aabhar	आभार
bachchi	बच्ची
dilli	दिल्ली
gunehgaar	गुनहगार
data	डाटा
atyachaar	अत्याचार
abki	अबकी
dadaji	दादाजी
lavanya	लावण्या
dehradun	देहरादून
janti	जानती
gande	गांडे
ghraph	घ्रफ
vaalon	वालों
padni	पदनी
mari	मारी
bhavnaye	भावनाए
bachchiyon	बच्चियों
rajputon	राजपूतों
shanubhuti	शनुभूति
dauran	दौरान
hotta	होटा
60saal	60साल
barbaadi	बर्बादी
zimmevaar	जिम्मेवार
bakht	बख्त
sabkuch	सबकुच
inn	इन
sbhi	सभी
sikho	सीखो
kasmiri	कसमीरी
apnahi	अपनाही
refujee	रिफ्यूजी
bankar	बनकर
rahna	रहना
rahne	रहने
bahno	बहनो
beshya	बेश्या
rohingaiko	रोहिंगईको
basane	बसने
rokenge	रोकेंगे
murkh	मुर्ख
aandh	आंध
nakaamyabi	नकामयाबी
chupane	छुपाने
hindumuslim	हिंदुमुसलिम
ghatak	घटक
hosla	होसला
bhad	भाद
behatreen	बेहतरीन
badolat	बदोलत
parhao	परहाओ
parkaro	परकारों
haatiya	हातिया
imandaari	ईमानदारी
pardarshi	पारदर्शी
sabkl	सबकल
musalman	मुसलमान
itniiii	इतनी
c*yapa	सी*यापा
jahaa	जहा
bawaal	बवाल
kalpanik	काल्पनिक
bhaduron	भादुरों
bacchiyon	बच्चियों
berehmi	बेरहमी
udhar	उधार
dikhaao	दिखाओ
kataane	कटाने
roye	रोये
dakaiti	डकैती
hindutv	हिंदुत्व
lekr	लेकर
mahaul	माहौल
khrab	खराब
atankwadi	आतंकवादी
sanghatan	संघटन
milkr	मिल्कर
haa	हा
kh	ख
failne	फैलने
bhdotri	भदोतरी
dikhaenge	दिखाएंगे
khalega	खलेगा
khaulate	खौलते
badhate	बढ़ते
bachate	बचाते
gaaliya	गालिया
nikali	निकली
shaant	शांत
rehna	रहना
maa-behen	मा-बहन
gaaliyan	गालियाँ
dhamkiya	धमकिया
virodhiyo	विरोधियो
vishesh	विशेष
parjati	प्रजाति
khuleaam	खुलेआम
aor	एओआर
hatyaye	हत्याये
dosiyon	डोसियों
pakdwao	पाकदवाओ
dhang	ढांग
padmawat	पद्मावत
uda	उड़ा
udate	उड़ते
ankh	आँख
paon	पाओं
engrave	एंग्रेव
bikaau	बिकाऊ
dikhayi	दिखायी
karaane	कराने
kharuch	खारूच
medical	मेडिकल
adhar	आधार
nayaymile	नययमिले
hariom	हरिओम
uni	उनी
bhagwaan	भगवान
zor	ज़ोर
badnaam	बदनाम
aabro	आबरो
kharida	खरीदा
samjhege	समझेगे
shambhulaal	शम्भूलाल
virat	विराट
sanathan	सनाथन
dharma	धर्मा
bachche	बच्चे
bacchon	बच्चों
saram	सरम
aad	आद
karvana	करवाना
dogle	डोगले
insaano	इंसानो
agla	अगला
swarajya	स्वराज्य
badte	बड़ते
polititians	पोलिटिटीयन
kuttay	कुट्टे
karain	कराइन
chalay	चलाय
mazloom	मजलूम
takleeef	तकलीफ
kamaal	कमाल
jahn	जहन
finale	फाइनल
hina	हिना
priyank	प्रियांक
pakad	पकड़
bathroom	बाथरूम
masturbate	मास्टरबेट
shaayad	शायद
nyaay	न्याय
jaayein	जाएं
asharam	आशाराम
dallo	दल्लो
khaali	खाली
munh	मुंह
phain	फैन
sachai	सचाई
sabhyata	सभ्यता
viksit	विकसित
kamzor	कमजोर
darinda	दरिंदा
ladkiyan	लड़कियां
phadd	फड्ड
zulm	ज़ुल्म
sunchega	सुंचेगा
puchta	पूछता
bacchi	बच्ची
qatar	कतर
kroorta	क्रूर्ता
harek	हरेक
bhoolo	भूलो
bachhion	बछिओन
amaanwiya	अमानवीय
kritya	कृत्य
bahir	बाहिर
tumhary	तुम्हारी
bhookha	भूखा
parta	परता
yaqeen	यकीन
baachi	बाची
masjidoo	मस्जिदू
todne	तोड़ने
burayi	बुरायी
raheti	राहेती
sariyat	सरियत
jaagi	जागी
maange	मांगे
tanqeed	तांकीद
jago	जागो
kumbhkarni	कुम्भकर्णी
ameithi	अमेठी
karvai	करवाई
chahie	चाहिए
hin	हिन
jimmevar	जिम्मेवार
politicise	पोलिटिकिसे
rahene	राहेने
masjido	मस्जिदो
giraya	गिराया
vaha	वहा
yahudi	यहूदी
mehi	मेही
marvaya	मरवाया
chorra	चोरा
purani	पुरानी
balatkaar	बलत्कार
dikhega	दिखेगा
bolugi	बोलुगी
jimewar	जीमेवार
bahane	बहाने
huya	हुया
leti	लेटी
andhi	अंधी
nashila	नशीला
ladko	लड़को
puch	पुच
aabhiyan	अभियान
mishra	मिश्रा
pande	पांडे
bhaiyo	भैयो
turant	तुरंत
tarika	तारिका
hatse	हटसे
huae	हुए
pahkna	पहकना
jal	जल
program	प्रोग्राम
harayana	हरियाणा
jhankiyo	झंकियों
prakar	प्रकार
jhakiya	झकिया
shameel	शामिल
sudharne	सुधारने
mamuli	मामूली
paesa	पैसा
khaya	खाया
kensi	केन्सी
bnane	बनाने
todte	तोड़ते
baithega	बैठेगा
rkhte	रखते
ketne	केतने
waek	वेक
tyaar	त्यार
dhajjiya	धज्जिया
bhayion	भायिओं
publicity	पब्लिसिटी
mahakaal	महाकाल
abuse	अब्यूज़
tek	टेक
chalga	चलगा
bachhi	बाछी
atyachryon	अत्याचार्यों
atankvad	आतंकवाद
godess	गोडेस
purana	पुराना
faridabad	फरीदाबाद
kash	काश
paate	पाते
leker	लेकर
hangama	हंगामा
raani	रानी
jaaker	जाकर
bachhate	बछते
samjhte	समझते
raajput	राजपूत
nange	नंगे
sant	संत
batade	बताडे
jain	जैन
naampe	नामपे
tumare	तुमरे
diniya	दिनिया
jinendra	जिनेन्द्र
liy	लिय
bannaiy	बन्नैय
kariy	करीय
imandar	इमानदार
ghumte	घूमते
raho	रहो
bchao	बचाओ
bhadao	भादाओ
andaza	अंदाजा
haryanvi	हरयाणवी
rangeen	रंगीन
mizaz	मिजाज
karty	करती
ghalat	घालत
karvati	करवाती
majhab	मझब
chapne	चापने
patrkar	पत्रकार
uthai	उठाई
giro	गिरो
shoot	शूट
babao	बाबाओ
madarse	मदरसे
aashram	आश्रम
rozgar	रोजगार
haqiat	हकीयत
door	दूर
bhagti	भागती
panchkula	पंचकुला
jeend	जींद
inme	इनमे
ispe	इस्पे
karwayega	करवायेगा
putle	पुतले
fookega	फूकेगा
sabut	साबुत
azaadi	आज़ादी
maza	माज़ा
saat	सात
batado	बतदो
dhuljaingay	धुलजैंगाय
chamche	चमचे
dedhdrohi	देध्द्रोही
dhoodh	दूध
pilaye	पिलाये
phan	फन
kuchlne	कुचलने
padege	पड़ेगे
budhdhe	बुध्<sp>धे
propaganda	प्रोपगंडा
bula	बुला
samjhaya	समझाया
sahela	सहेला
rasheed	रशीद
antinational	अंतिनटीओनल
inshaallah	इंशाअल्लाह
lagayega	लगायेगा
laa	ला
kariyo	करियो
jaahil	जाहिल
mileyga	मिलेगा
sheela	शीला
enko	एनको
afzal	अफजल
batna	बटना
enka	एनका
gandu	गांडू
ganja	गंजा
phoonka	फूंका
akkal	अक्कल
ayegi	आयेगी
jakar	जाकर
kanaiya	कनैया
burhanwani	बुरहानवानी
bithake	बिठाके
bhejdo	भेजदो
rkhne	रखने
rashtra	राष्ट्र
dhundh	ढूंढ
najeeb	नजीब
yanha	यानहा
wanha	वान्हा
nare	नारे
barbadi	बरबादी
key	की
doosrey	दूसरे
lagey	लगे
thha	था
kehate	कहते
gharpe	घरपे
tukre	तुकरे
tuo	तुओ
bantete	बांटेटे
mita	मिटा
shaatir	शातिर
veer	वीर
kanhaiya	कन्हैया
patak	पटक
doosari	दूसरी
aaka	आका
chhapa	छापा
haqeeqat	हकीकत
jawanon	जवानों
sochi	सोची
samjhi	समझी
sajish	साजिश
aesa	एसा
pachde	पचदे
upaj	उपज
generation	जेनरेशन
khilaya	खिलाया
pilaya	पिलाया
chanda	चंदा
communist	कम्युनिस्ट
ideology	आइडियोलॉजी
institutions	इंस्टीट्यूशन्स
ganesh	गणेश
padho	पढ़ो
museum	म्यूज़ियम
banega	बनेगा
jaroor	जरूर
bulwao	बुलवाओ
barsao	बरसाओ
nidhi	निधि
razdan	राजदान
deshdrohi	देशद्रोही
faasi	फासी
inh	इन्ह
debates	डिबेट्स
nikalte	निकालते
bhaukna	भौकना
gholo	घोलो
zeher	ज़हर
sikhate	सिखाते
veteran	वेटरन
aslo	असलो
bhajan	भजन
kirtan	कीर्तन
birodhi	बिरोधी
jaao	जाओ
wahaan	वहान
sabkuchch	सबकुच्छ
bikegaa	बिकेगा
gamcha	गमचा
angle	अंगले
tihadi	तिहाडी
mazdoor	मजदूर
aazadi	आज़ादी
pagalkhane	पगलखाने
kejari	केजारी
kaafee	काफी
samjhnekeliye	समझनेकेलिये
khaake	खाके
chutiyapa	चुटियापा
anti-indians	अन्ति-इंडियन्स
logonke	लोगोंके
usike	उसीके
abhivyakti	अभिव्यक्ति
uthya	उठया
lagg	लग
feke	फेके
jawano	जवानो
hafij	हाफिज
burhan	बुरहान
ginti	गिनती
muft	मुफ्त
buddhe	बुद्धे
ghoday	घोडे
karlete	करलेटे
kispe	किस्पे
sunaar	सुनार
lauhar	लौहर
jnu	जेएनयू
dekhkar	देखकर
dekhke	देखके
rho	रहो
kabhe	कभे
ginavaya	गिनवाया
institute	इंस्टीट्यूट
slogans	स्लोगन
vande	वन्दे
bandhe	बंधे
naarebaazi	नारेबाज़ी
pdaaai	पड़ाई
rajnneti	राजनेटी
sinha	सिन्हा
taan	तान
mandali	मंडली
majaq	मजाक
brigade	ब्रिगेड
bardast	बरदास
jaat	जाट
aarakshan	आरक्षण
santi	सांति
pathological	पैथोलॉजिकल
pahuchate	पहुचते
mill	मिल
udhaari	उधारी
jignya	जिगन्<sp>या
buzane	बुजने
tovnhi	तोवनही
bistar	बिस्तर
apana	अपना
bewkoof	बेवकूफ
dramebaaz	ड्रामेबाज़
netagiri	नेतागिरि
pattharbaji	पत्थरबाजी
laat	लाट
dirohio	दिरोहिओ
toli	टोली
dikhegi	दिखेगी
chhodoge	छोडोगे
doodh	दूध
dhula	धुला
murga	मुर्गा
chalegi	चलेगी
divas	दिवस
phar	फार
laal	लाल
chadhdhi	चढ्ढी
gate	गेट
bujurg	बुजुर्ग
sochte	सोचते
kunki	कुंकी
lagani	लगानी
nehru	नेहरू
muzaira	मुजाइरा
jawahar	जवाहर
lal	लाल
pahdne	पहड़ने
chachiji	चाचीजी
rahem	रहें
karoo	कारू
lagni	लगनी
nikale	निकाले
nikalenge	निकालेंगे
desdroh	डेसद्रोह
aaropiyo	आरोपियों
gurmeher	गुरमेहर
riya	रिया
gunj	गूंज
lafda	लफड़ा
muje	मुजे
karayen	करायें
banke	बांके
dikhavo	दिखावो
patriot	पैट्रियट
sahara	सहारा
jabran	जबरन
hoshiyari	होशियारी
jhadne	झड़ने
dubenge	दुबेंगे
aarhe	आरहे
charsi	चारसी
lagenge	लगेंगे
kesi	केसी
nikalta	निकलता
ru	रू
rotiyan	रोटियां
todega	तोड़ेगा
chargesheet	चार्जशीट
hairani	हैरानी
sahiba	साहिबा
shehla	शेहला
chanel	चैनल
pathar	पथर
kankar	कांकर
badah	बदाह
din-imaandaar	दिन-ईमानदार
chehro	चेहरो
goonj	गूंज
bandhu	बंधु
jamaat	जमात
pagalo	पगलो
bhoke	भोके
khichane	खिचने
chuppi	चुप्पी
mitega	मिटेगा
pollution	पलूशन
fare	फेयर
rat	रात
sar-kar	सर-कार
smabhal	स्मभल
humme	हम्मे
yatra	यात्रा
subh	सुभ
aarmbh	आर्म्भ
chembar	चेम्बर
saantvana	सांत्वना
kejri	केजरी
sakey	सके
kadakey	कडके
dhuaon'	धुआओं'
leejie	लीजिए
hashtag	हैशटैग
ramleela	रामलीला
jashan	जशन
istemaal	इस्तेमाल
kejriwalji	केजरीवालजी
logic-	लॉजिक-
wajhe	वझे
pehele	पहले
dramebaaji	ड्रामेबाजी
khelo	खेलो
bewakoof	बेवकूफ
zameen	जमीन
haqiqat	हकीकत
samasya	समस्या
nidan	निदान
kujh	कुझ
rukh	रुख
khubsoorat	खूबसूरत
pariyavarn	परियावरन
kamo	कामो
jabardasti	जबर्दस्ती
saanson	सांसों
zindegi	जिनदेगी
challan	चल्लन
baton	बातों
khaasi	खासी
nae	ने
kejrival	केजरीवाल
sae	से
bagwan	बागवान
authorities	अथोरिटीज़
shaam	शाम
bann	बैन
phode	फोड़े
presstitute	प्रेस्टिट्यूट
charhca	चरहका
wahin	वहीं
kedarnath	केदारनाथ
manegi	मानेगी
jalenge	जलेंगे
patriotism	पैट्रियटिस्म
pant	पंत
aukat	औकत
mehsoos	महसूस
patake	पटाके
kosna	कोसना
srilankan	श्रीलंकन
environment	एनवायरनमेंट
srilanka	श्रीलंका
lagye	लगये
hanumanji	हनुमानजी
lanka	लंका
lagayi	लगायी
boond	बूंद
aajtak	आजतक
pehn	पेन
bikegi	बिकेगी
kri	क्रि
delihi	डेलीही
kismat	किस्मत
footi	फूटी
ilaaj	इलाज
waalo	वालो
shandar	शानदार
paane	पाने
bechaare	बेचारे
jadu	जादू
dhup	धूप
dehli	देहली
doshi	दोषी
pahuchane	पहुचाने
aalam	आलम
jahir	जाहिर
rhte	रहते
lgwa	लगवा
bhasanbazi	भासनबाजी
hookah	हूकह
atakk	अटक
pranaam	प्रणाम
kissa	किस्सा
kehti	कहती
badhaane	बढ़ाने
bahri	बाहरी
dushmano	दुश्मनो
dikat	डिकट
padiye	पड़िये
businessman	बिज़नेसमैन
pite	पीते
jaayegi	जायेगी
chita	चिता
jalne	जलने
cha	चा
sambhog	संभोग
ramrahim	रामरहीम
chla	चला
kaslo	कसलो
srilanakan	श्रीलनकन
pari	परी
pehene	पहने
dekhenge	देखेंगे
drohi	द्रोही
ghoshit	घोषित
hawa	हवा
lankan	लंकन
shaher	शहर
dhua	धुआ
pataakhe	पटाखे
jeena	जीना
aayein	आएन
mirza	मिर्ज़ा
ghalib	गालिब
khayenge	खायेंगे
jhelna	झेलना
jaag	जाग
khilwaad	खिलवाड़
cabwala	काबवाला
rehti	रहती
dua	दुआ
baddua	बद्दुआ
meharbaani	मेहरबानी
milege	मिलेगे
nashe	नशे
kharch	खर्च
jio	जियो
becha	बेचा
bathe	बाथे
mehengai	महंगाई
kidh	किध
sudhro	सुधरो
behanchod	बहंचोड़
jhooti	झूटी
recharge	रिचार्ज
padte	पड़ते
meethi	मीठी
pakka	पक्का
tower	टॉवर
irada	इरादा
chahia	चाहिया
khudke	खुदके
jigar	जिगर
bakwaas	बकवास
sathiya	साथिया
jesse	जेस
wasehi	वसेही
fokat	फोकत
mahenat	महेनत
sim	सिम
jite	जिते
jhate	झाटे
matke	मटके
kaye	के
tarfse	तरफसे
jabab	जबाब
sochate	सोचते
leni	लेनी
bhaari	भारी
matra	मात्रा
arvind	अरविंद
jitnr	जीतनर
sharmnak	शर्मनाक
neya	नेय
bebash	बेबश
taqatwar	तकतवार
bekar	बेकर
nikammi	निकम्मी
mujh	मुझ
hajaro	हजारो
thi	थी
saaala	साला
khatwaria	खटवारिया
sarai	सराई
floor	फ्लोर
chadna	चादना
danya	दान्य
mukesh	मुकेश
chamber	चैंबर
ilake	इलाके
taar	तार
gadhbad	गढ़बाड़
kadai	कडाई
shanti	शांति
layak	लायक
kripa	कृपा
hojaega	होजाएगा
maaja	माजा
uthaega	उठाएगा
waaoo	वाऊ
loogo	लूगो
baana	बाना
karaunga	करौंगा
yadi	यादी
fukhti	फुखती
chu	चु
vaada	वादा
kana	काना
koshih	कोशिह
langda	लंगडा
raam	राम
milae	मिलाए
jodi	जोड़ी
kodi	कोडी
shilpa	शिल्पा
april	अप्रिल
shona	शोना
jaanu	जानू
karwado	करवाडो
waala	वाला
chutiyappa	चुटियाप्पा
hojayega	होजायेगा
khareed	खरीद
bhagvan	भगवान
tayyar	तय्यार
bhandara	भंडारा
ullu	उल्लू
page	पेज
dalali	दलाली
mitra	मित्रा
nikkami	निक्कमी
chaloo	चालू
bhartiya	भारतीय
saharnpur	सहारनपुर
sewaye	सेवाए
maharbani	महरबानी
khela	खेला
chhapara	छपरा
gorakhpur	गोरखपुर
